"uid","firstname","lastname","region","departement","circonscription","profession","group","group_short"
"302748","EUGENIA MARIA","ROCCELLA","FRATELLI D'ITALIA CON GIORGIA MELONI","proporzionale","CALABRIA - P01","Laurea in lettere, Dottorato di ricerca; Giornalista","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"302856","PAOLA","DE MICHELI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","EMILIA-ROMAGNA - P01","Laurea in scienze politiche; Imprenditore agricolo, Dipendente di azienda privata","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"305815","MATTEO","ORFINI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LAZIO 2 - P02","Diploma di liceo classico; Parlamentare","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"305704","ANNA","ASCANI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","UMBRIA - P01","Laurea in filosofia teoretica, morale, politica ed estetica; Dottoranda","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302789","MARIA ANNA","MADIA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LAZIO 2 - P01","Laurea in scienze politiche, Dottorato di ricerca in economia; Parlamentare","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302422","GIOVANNI","CUPERLO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LOMBARDIA 1 - P01","Laurea in discipline dell'arte, della musica e dello spettacolo; Funzionario","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"305624","LORENZO","GUERINI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LOMBARDIA 4 - P01","Laurea in scienze politiche; Consulente assicurativo","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302746","VINICIO GIUSEPPE GUIDO","PELUFFO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LOMBARDIA 3 - P01","Laurea in scienze giuridiche; Dirigente di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302818","STEFANO","GRAZIANO","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","CAMPANIA 2 - P01","Laurea in ingegneria civile e ambientale; Ingegnere","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"305549","SIMONA","BONAFE'","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","TOSCANA - P03","Laurea in scienze politiche","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302902","FABIO","PORTA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","AMERICA MERIDIONALE","Sociologo","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302754","CHIARA","BRAGA","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","LOMBARDIA 2 - P02","Laurea in pianificazione territoriale, urbanistica ed ambientale; Urbanista","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"305757","LAURA","BOLDRINI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","TOSCANA - P02","Laurea in giurisprudenza; Funzionaria Agenzie ONU; Parlamentare","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"305771","IRENE","MANZI","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","proporzionale","MARCHE - P01","Laurea in giurisprudenza, Corsi e scritti di specializzazione e approfondimenti; Dipendente pubblico","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302867","DEBORAH","BERGAMINI","FORZA ITALIA","proporzionale","TOSCANA - P01","Laurea in lingue e letterature straniere; Giornalista professionista, Vice Presidente del Gruppo PPE all'Assemblea del Consiglio d'Europa","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"302968","CATIA","POLIDORI","FORZA ITALIA","proporzionale","UMBRIA - P01","Laurea in economia bancaria, dottorato di ricerca in Scienze della formazione; Imprenditore, Professore universitario","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"303089","GILBERTO","PICHETTO FRATIN","FORZA ITALIA","proporzionale","PIEMONTE 1 - P02","Laurea in economia e commercio; Dottore commercialista","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"305553","MARIA CHIARA","GADDA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 2 - P02","Laurea in ingegneria gestionale; Dipendente di azienda privata","ITALIA VIVA-IL CENTRO-RENEW EUROPE (IV-C-RE) (20.11.2023","IV-C-RE"
"305880","NICOLA","FRATOIANNI","ALLEANZA VERDI E SINISTRA","proporzionale","TOSCANA - P03","Laurea in lettere e filosofia","MISTO (MISTO) (18.10.2022","MISTO"
"302913","ANTONINO","MINARDO",,,"SICILIA 2 - P03","Laurea in scienze politiche; Dirigente di azienda privata","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"302980","ELENA","MACCANTI",,,"PIEMONTE 1 - P01","Giornalista professionista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"302764","SILVANA ANDREINA","COMAROLI",,,"LOMBARDIA 4 - P01","Laurea in economia e commercio; Responsabile amministrativo","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"304521","EDOARDO","RIXI",,,"LIGURIA - P01","Laurea in economia e commercio","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"302762","NICOLA","MOLTENI",,,"LOMBARDIA 2 - P02","Laurea in giurisprudenza; Avvocato","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"302824","MASSIMO","BITONCI",,,"VENETO 2 - P01","Laurea in economia e commercio; Dottore commercialista, revisore contabile","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
"305688","WALTER","RIZZETTO",,,"FRIULI-VENEZIA GIULIA - P01","Diploma di liceo classico","FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"305698","ANDREA","DE MARIA",,,"EMILIA-ROMAGNA - P02","Diploma di liceo scientifico; Dirigente di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
"302794","ROBERTO","MORASSUT",,,"LAZIO 1 - P02","Laurea in lettere moderne; Dirigente di partito","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA (PD-IDP) (18.10.2022","PD-IDP"
